CT.POS,CAMERA.ID,ORIENT,GAIT,DIST,LOIT,TRIGGER,CAPTURE,WATER,AIR,ABS.DIFF
BW,A,P,W,1,0,1,1,9.57,12.48,2.91
BW,BS,P,W,1,0,1,1,9.57,12.48,2.91
BW,BV,P,W,1,0,1,1,9.57,12.48,2.91
C,A,L,W,3,0,1,1,9.57,12.48,2.91
C,BV,L,W,3,0,1,0,9.57,12.48,2.91
C,BS,L,W,3,0,1,1,9.57,12.48,2.91
BL,A,L,W,2,0,1,1,9.57,12.48,2.91
BL,BV,L,W,2,0,1,0,9.57,12.48,2.91
BL,BS,L,W,2,0,1,1,9.57,12.48,2.91
A,A,L,W,7,1,0,NA,9.57,12.48,2.91
A,BV,L,W,7,1,0,NA,9.57,12.48,2.91
A,BS,L,W,7,1,1,1,9.57,12.48,2.91
BL,A,L,W,1,1,1,1,9.57,12.48,2.91
BL,BS,L,W,1,1,1,1,9.57,12.48,2.91
BL,BV,L,W,1,1,1,1,9.57,12.48,2.91
C,A,L,W,3,0,0,NA,9.57,12.48,2.91
C,BS,L,W,3,0,1,1,9.57,12.48,2.91
C,BV,L,W,3,0,1,1,9.57,12.48,2.91
BW,A,P,W,1,1,1,1,9.57,12.48,2.91
BW,BS,P,W,1,1,1,1,9.57,12.48,2.91
BW,BV,P,W,1,1,1,1,9.57,12.48,2.91
C,A,L,W,7,0,0,NA,9.57,12.64,3.07
C,BS,L,W,7,0,0,NA,9.57,12.64,3.07
C,BV,L,W,7,0,0,NA,9.57,12.64,3.07
BL,A,L,W,10,1,0,NA,9.57,12.64,3.07
BL,BS,L,W,10,1,0,NA,9.57,12.64,3.07
BL,BV,L,W,10,1,0,NA,9.57,12.64,3.07
BL,A,L,W,10,0,0,NA,9.57,12.64,3.07
BL,BS,L,W,10,0,0,NA,9.57,12.64,3.07
BL,BV,L,W,10,0,0,NA,9.57,12.64,3.07
A,A,A,W,3,0,0,NA,9.57,12.64,3.07
A,BS,A,W,3,0,0,NA,9.57,12.64,3.07
A,BV,A,W,3,0,0,NA,9.57,12.64,3.07
C,A,L,W,5,0,0,NA,9.57,12.64,3.07
C,BS,L,W,5,0,0,NA,9.57,12.64,3.07
C,BV,L,W,5,0,0,NA,9.57,12.64,3.07
BW,A,L,W,2.5,0,0,NA,9.57,12.64,3.07
BW,BS,L,W,2.5,1,1,1,9.57,12.64,3.07
