CT.POS,CAMERA.ID,ORIENT,GAIT,DIST,wet.dry,LOIT,TRIGGER,AIR,ABS.DIFF
C,A,L,W,7,wet,0,0,12.64,3.07
C,BS,L,W,7,wet,0,0,12.64,3.07
C,BV,L,W,7,wet,0,0,12.64,3.07
A,A,L,T,3,wet,0,1,12.28,2.61
A,BS,L,T,3,wet,0,1,12.28,2.61
A,BV,L,T,3,wet,0,1,12.28,2.61
C,A,L,T,4,wet,0,0,12.28,2.61
C,BS,L,T,4,wet,0,0,12.28,2.61
C,BV,L,T,4,wet,0,0,12.28,2.61
A,A,L,W,4,dry,0,0,9.47,0.3
A,BS,L,W,4,dry,0,1,9.47,0.3
A,BV,L,W,4,dry,0,1,9.47,0.3
C,A,L,W,3,dry,0,1,9.47,0.3
C,BS,L,W,3,dry,0,0,9.47,0.3
C,BV,L,W,3,dry,0,1,9.47,0.3
BW,A,P,W,1,dry,0,1,9.47,0.3
BW,BS,P,W,1,dry,0,1,9.47,0.3
BW,BV,P,W,1,dry,0,1,9.47,0.3
BW,A,A,W,2.5,wet,0,0,9.47,0.3
BW,BS,A,W,2.5,wet,0,0,9.47,0.3
BW,BV,A,W,2.5,wet,0,1,9.47,0.3
A,A,L,T,3,wet,0,1,9.27,0.5
A,BS,L,T,3,wet,0,1,9.27,0.5
A,BV,L,T,3,wet,0,0,9.27,0.5
C,A,L,T,3,wet,0,0,9.27,0.5
C,BS,L,T,3,wet,0,0,9.27,0.5
C,BV,L,T,3,wet,0,0,9.27,0.5
BW,A,A,T,2.5,wet,0,0,9.27,0.5
BW,BS,A,T,2.5,wet,0,0,9.27,0.5
BW,BV,A,T,2.5,wet,0,0,9.27,0.5
BL,A,P,W,1,wet,1,1,9.27,0.5
BL,BS,P,W,1,wet,1,1,9.27,0.5
BL,BV,P,W,1,wet,1,0,9.27,0.5
C,A,L,W,4,dry,0,1,9.39,0.48
C,BS,L,W,4,dry,0,1,9.39,0.48
C,BV,L,W,4,dry,0,1,9.39,0.48
C,A,L,T,2,dry,0,1,9.39,0.48
C,BS,L,T,2,dry,0,0,9.39,0.48
C,BV,L,T,2,dry,0,1,9.39,0.48
A,A,L,R,5.5,dry,0,1,9.39,0.48
A,BS,L,R,5.5,dry,0,1,9.39,0.48
A,BV,L,R,5.5,dry,0,0,9.39,0.48
C,A,L,W,2.5,wet,1,0,9.39,0.48
C,BS,L,W,2.5,wet,1,1,9.39,0.48
C,BV,L,W,2.5,wet,1,1,9.39,0.48
A,A,L,W,4,wet,0,0,9.39,0.48
A,BS,L,W,4,wet,0,1,9.39,0.48
A,BV,L,W,4,wet,0,1,9.39,0.48
BW,A,A,W,2.5,wet,0,0,9.3,0.57
BW,BS,A,W,2.5,wet,0,1,9.3,0.57
BW,BV,A,W,2.5,wet,0,1,9.3,0.57
A,A,L,W,4,wet,0,0,9.3,0.57
A,BS,L,W,4,wet,0,1,9.3,0.57
A,BV,L,W,4,wet,0,0,9.3,0.57
C,A,L,W,2.5,wet,0,0,9.3,0.57
C,BS,L,W,2.5,wet,0,1,9.3,0.57
C,BV,L,W,2.5,wet,0,1,9.3,0.57
BW,A,A,T,2.5,wet,1,0,9.3,0.57
BW,BS,A,T,2.5,wet,1,0,9.3,0.57
